"numcode","VMAR_Group","ccode","country","VMAR_Region","year","GPOP","CPOP","GPRO","LANG","CUSTOM","BELIEF","RELIGS1","RACE","GROUPCON","GC119","GC2","GC6B","GC7","GC10","GC11","AUTLOST","YEARWT","MAGN","PRSTAT","AUTONEND","TRANSYR","SEPX","SEPKIN","EMIG","DISPLACE","POLDIS","ECDIS","CULPO1","CULPO2","GOJPA","AUTON2","AUTGAIN","AUTPRO","LEGISREP","EXECREP","GUARREP","POLGR","ECGR","CULGR","KINSUP","KINMATSUP","KINPOLSUP","KINMILSUP","STASUP","STAMATSUP","STAPOLSUP","STAMILSUP","NSASUP","NSAMATSUP","NSAPOLSUP","NSAMILSUP","INTRACON","FACTCC1","FACTSEV1","FACTCC2","FACTSEV2","FACTCC3","FACTSEV3","INTERCON","CCGROUP1","CCGROUPSEV1","CCGROUP2","CCGROUPSEV2","CCGROUP3","CCGROUPSEV3","PROT","REB","REPGENCIV","REPNVIOL","REPVIOL"
10101,"Blacks",101,"Venezuela","Latin America and the Caribbean",2005,5117008,25269177,0.2025,0,1,0,1,2,2,2,1,-99,-99,3,2,0,5,1,0,"","",0,1,0,0,3,3,0,0,2,0,-99,0,-99,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"","0","","0",0,"",0,"",0,"",0,0,0,0,0,0
10101,"Blacks",101,"Venezuela","Latin America and the Caribbean",2006,5192396,25641462,0.2025,0,1,0,1,2,2,2,1,-99,-99,3,2,0,5,1,0,"","",0,1,0,0,3,3,0,0,2,0,-99,0,-99,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"","0","","0",0,"",0,"",0,"",0,0,0,0,0,0
10102,"Indigenous Peoples",101,"Venezuela","Latin America and the Caribbean",2004,425869,24904615,0.0171,1,1,0,1,2,2,3,0,0,0,1,1,0.6,5,3,1,"1567","1829",3,1,0,1,1,1,0,0,2,0,-99,0,1,1,1,3,2,2,0,0,0,0,1,1,0,0,1,1,0,0,0,"",0,"","0","","0",0,"",0,"",0,"",0,0,0,0,0,3
10102,"Indigenous Peoples",101,"Venezuela","Latin America and the Caribbean",2005,432103,25269177,0.0171,1,1,0,1,2,2,3,0,0,0,1,1,0.6,5,3,1,"1567","1829",3,1,0,1,1,1,0,0,2,0,-99,0,1,1,1,3,2,2,0,0,0,0,1,1,0,0,1,1,0,0,0,"",0,"","0","","0",1,"land-owning ranchers",3,"",0,"",0,3,0,0,0,0
10102,"Indigenous Peoples",101,"Venezuela","Latin America and the Caribbean",2006,438469,25641462,0.0171,1,1,0,1,2,2,3,0,0,0,1,2,0.6,5,3,1,"1567","1829",3,1,0,1,1,1,0,0,2,0,-99,0,1,1,1,3,2,2,1,0,1,0,1,1,0,0,1,0,1,0,0,"",0,"","0","","0",0,"",0,"",0,"",0,3,0,0,0,0
11001,"Africans",110,"Guyana","Latin America and the Caribbean",2004,499293,1386926,0.36,0,1,2,3,3,2,4,0,0,0,1,1,0,2,1,0,"-99","1966",0,0,1,0,1,3,0,0,3,0,-99,-99,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"0",0,"0","0","0","0",1,"East Indians",3,"",0,"",0,3,0,5,-99,0
11001,"Africans",110,"Guyana","Latin America and the Caribbean",2005,509097,1414159,0.36,0,1,2,3,3,2,4,0,0,0,1,1,0,2,1,0,"-99","1966",0,0,1,0,1,3,0,0,3,0,-99,-99,1,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"0",0,"0","0","0","0",1,"East Indians",3,"",0,"",0,3,0,0,0,0
11001,"Africans",110,"Guyana","Latin America and the Caribbean",2006,519389,1442747,0.36,0,1,2,3,3,2,4,0,0,0,1,1,0,2,1,0,"-99","1966",0,0,1,0,1,3,0,0,3,0,-99,-99,1,1,0,1,2,1,0,0,0,0,1,0,1,0,1,0,1,0,0,"0",0,"0","0","0","0",1,"East Indians",3,"",0,"",0,0,1,0,2,0
11002,"East Indians",110,"Guyana","Latin America and the Caribbean",2004,693463,1386926,0.5,0,0,0,10,0,2,-99,1,1,1,2,3,0,2,1,0,"-99","1966",0,0,0,0,0,0,0,0,2,0,-99,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"",0,"","0","","0",1,"Afro-Guyanese",3,"",0,"",0,0,0,0,0,0
11002,"East Indians",110,"Guyana","Latin America and the Caribbean",2005,707080,1414159,0.5,0,0,0,10,0,2,-99,1,1,1,2,3,0,2,1,0,"-99","1966",0,0,0,0,0,0,0,0,2,0,-99,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"",0,"","0","","0",1,"Afro-Guyanese",3,"",0,"",0,0,0,0,0,0
11002,"East Indians",110,"Guyana","Latin America and the Caribbean",2006,721374,1442747,0.5,0,0,0,10,0,2,-99,1,1,1,2,3,0,2,1,0,"-99","1966",0,0,0,0,0,0,0,0,2,0,-99,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,"",0,"","0","","0",1,"Afro-Guyanese",3,"",0,"",0,0,0,0,0,0
13001,"Blacks",130,"Ecuador","Latin America and the Caribbean",2004,1042735,13368398,0.078,0,1,0,1,2,3,4,1,1,1,2,2,0.6,5,3,1,"1599","1830",3,1,0,0,3,3,0,0,2,0,-99,0,1,0,0,3,2,2,0,0,0,0,1,1,1,0,1,1,1,0,0,"",0,"","0","","0",0,"",0,"",0,"",0,3,0,2,0,0
13001,"Blacks",130,"Ecuador","Latin America and the Caribbean",2005,1065661,13662318,0.078,0,1,0,1,2,3,4,1,1,1,2,2,0.6,5,3,1,"1599","1830",3,1,0,0,3,3,0,0,2,0,-99,0,1,0,0,3,2,2,0,0,0,0,1,1,1,0,1,1,1,0,0,"",0,"","0","","0",0,"",0,"",0,"",0,0,0,2,0,0
